Country or Area	Geographical subregion
Algeria	NorthernAfrica
Egypt	NorthernAfrica
Libya	NorthernAfrica
Morocco	NorthernAfrica
Sudan	NorthernAfrica
Tunisia	NorthernAfrica
WesternSahara(disputed)[note3]	NorthernAfrica
BritishIndianOceanTerritory	EasternAfrica
Burundi	EasternAfrica
Comoros	EasternAfrica
Djibouti	EasternAfrica
Eritrea	EasternAfrica
Ethiopia	EasternAfrica
FrenchSouthernTerritories	EasternAfrica
Kenya	EasternAfrica
Madagascar	EasternAfrica
Malawi	EasternAfrica
Mauritius	EasternAfrica
Mayotte	EasternAfrica
Mozambique	EasternAfrica
Reunion	EasternAfrica
Rwanda	EasternAfrica
Seychelles	EasternAfrica
Somalia	EasternAfrica
SouthSudan	EasternAfrica
Uganda	EasternAfrica
Tanzania	EasternAfrica
Zambia	EasternAfrica
Zimbabwe	EasternAfrica
Angola	MiddleAfrica
Cameroon	MiddleAfrica
CentralAfricanRepublic	MiddleAfrica
Chad	MiddleAfrica
RepublicoftheCongo	MiddleAfrica
DemocraticRepublicoftheCongo	MiddleAfrica
EquatorialGuinea	MiddleAfrica
Gabon	MiddleAfrica
SaoTomeandPrincipe	MiddleAfrica
Botswana	SouthernAfrica
Eswatini	SouthernAfrica
Lesotho	SouthernAfrica
Namibia	SouthernAfrica
SouthAfrica	SouthernAfrica
Benin	WesternAfrica
BurkinaFaso	WesternAfrica
CaboVerde	WesternAfrica
CotedIvoire	WesternAfrica
Gambia	WesternAfrica
Ghana	WesternAfrica
Guinea	WesternAfrica
Guinea-Bissau	WesternAfrica
GuineaBissau	WesternAfrica
Liberia	WesternAfrica
Mali	WesternAfrica
Mauritania	WesternAfrica
Niger	WesternAfrica
Nigeria	WesternAfrica
SaintHelena[SaintHelena,AscensionandTristandaCunha]	WesternAfrica
Senegal	WesternAfrica
SierraLeone	WesternAfrica
Togo	WesternAfrica
Anguilla	Caribbean
AntiguaandBarbuda	Caribbean
Aruba	Caribbean
TheBahamas	Caribbean
Barbados	Caribbean
Bonaire	Caribbean
BritishVirginIslands	Caribbean
CaymanIslands	Caribbean
Cuba	Caribbean
Curacao	Caribbean
Dominica	Caribbean
DominicanRepublic	Caribbean
Grenada	Caribbean
Guadeloupe	Caribbean
Haiti	Caribbean
Jamaica	Caribbean
Martinique	Caribbean
Montserrat	Caribbean
PuertoRico	Caribbean
SaintBarthelemy	Caribbean
SaintKittsandNevis	Caribbean
SaintLucia	Caribbean
SaintMartin	Caribbean
SaintVincentandtheGrenadines	Caribbean
SintMaarten	Caribbean
SintEustatius	Caribbean
TrinidadandTobago	Caribbean
TurksandCaicosIslands	Caribbean
USVirginIslands	Caribbean
Belize	CentralAmerica
CostaRica	CentralAmerica
ElSalvador	CentralAmerica
Guatemala	CentralAmerica
Honduras	CentralAmerica
Mexico	CentralAmerica
Nicaragua	CentralAmerica
Panama	CentralAmerica
Argentina	SouthAmerica
Bolivia	SouthAmerica
BouvetIsland	SouthAmerica
Brazil	SouthAmerica
Chile	SouthAmerica
Colombia	SouthAmerica
Ecuador	SouthAmerica
FalklandIslands(Malvinas)	SouthAmerica
FrenchGuiana	SouthAmerica
Guyana	SouthAmerica
Paraguay	SouthAmerica
Peru	SouthAmerica
SouthGeorgiaandtheSouthSandwichIslands	SouthAmerica
Suriname	SouthAmerica
Uruguay	SouthAmerica
Venezuela	SouthAmerica
Bermuda	NorthernAmerica
Canada	NorthernAmerica
Greenland	NorthernAmerica
SaintPierreandMiquelon	NorthernAmerica
USA	NorthernAmerica
Antarctica	—
Kazakhstan	CentralAsia
Kyrgyzstan	CentralAsia
Tajikistan	CentralAsia
Turkmenistan	CentralAsia
Uzbekistan	CentralAsia
China	EasternAsia
Taiwan	EasternAsia
HongKong	EasternAsia
Macao	EasternAsia
DemocraticPeople'sRepublicofKorea[NorthKorea]	EasternAsia
Japan	EasternAsia
Mongolia	EasternAsia
SouthKorea	EasternAsia
Brunei	SouthEasternAsia
Cambodia	SouthEasternAsia
Indonesia	SouthEasternAsia
Laos	SouthEasternAsia
Malaysia	SouthEasternAsia
Myanmar	SouthEasternAsia
Philippines	SouthEasternAsia
Singapore	SouthEasternAsia
Thailand	SouthEasternAsia
TimorLeste	SouthEasternAsia
Vietnam	SouthEasternAsia
IslamicRepublicofAfghanistan	SouthernAsia
Afghanistan	SouthernAsia
Bangladesh	SouthernAsia
Bhutan	SouthernAsia
India	SouthernAsia
Iran	SouthernAsia
Maldives	SouthernAsia
Nepal	SouthernAsia
Pakistan	SouthernAsia
SriLanka	SouthernAsia
Armenia	WesternAsia
Azerbaijan	WesternAsia
Bahrain	WesternAsia
Cyprus	WesternAsia
Georgia	WesternAsia
Iraq	WesternAsia
Israel	WesternAsia
Jordan	WesternAsia
Kuwait	WesternAsia
Lebanon	WesternAsia
Oman	WesternAsia
Qatar	WesternAsia
SaudiArabia	WesternAsia
StateofPalestine	WesternAsia
Palestine	WesternAsia
Syria	WesternAsia
Turkey	WesternAsia
UnitedArabEmirates	WesternAsia
Yemen	WesternAsia
Belarus	EasternEurope
Bulgaria	EasternEurope
CzechRepublic	EasternEurope
Hungary	EasternEurope
Poland	EasternEurope
Moldova	EasternEurope
Romania	EasternEurope
Russia	EasternEurope
Crimea	EasternEurope
Slovakia	EasternEurope
Ukraine	EasternEurope
AlandIslands	NorthernEurope
Denmark	NorthernEurope
Estonia	NorthernEurope
FaroeIslands	NorthernEurope
Finland	NorthernEurope
Guernsey	NorthernEurope
Iceland	NorthernEurope
Ireland	NorthernEurope
IsleofMan	NorthernEurope
Jersey	NorthernEurope
Latvia	NorthernEurope
Lithuania	NorthernEurope
Norway	NorthernEurope
SvalbardandJanMayenIslands	NorthernEurope
Sweden	NorthernEurope
UnitedKingdom	NorthernEurope
Albania	SouthernEurope
Andorra	SouthernEurope
BosniaandHerzegovina	SouthernEurope
Croatia	SouthernEurope
Gibraltar	SouthernEurope
Greece	SouthernEurope
HolySee[VaticanCity]	SouthernEurope
Italy	SouthernEurope
Malta	SouthernEurope
Montenegro	SouthernEurope
NorthMacedonia	SouthernEurope
Portugal	SouthernEurope
SanMarino	SouthernEurope
Serbia	SouthernEurope
Slovenia	SouthernEurope
Spain	SouthernEurope
Austria	WesternEurope
Belgium	WesternEurope
France	WesternEurope
Germany	WesternEurope
Liechtenstein	WesternEurope
Luxembourg	WesternEurope
Monaco	WesternEurope
Netherlands	WesternEurope
Switzerland	WesternEurope
Australia	AustraliaandNewZealand
ChristmasIsland	AustraliaandNewZealand
Cocos(Keeling)Islands	AustraliaandNewZealand
HeardIslandandMcDonaldIslands	AustraliaandNewZealand
NewZealand	AustraliaandNewZealand
NorfolkIsland	AustraliaandNewZealand
Fiji	Melanesia
NewCaledonia	Melanesia
PapuaNewGuinea	Melanesia
SolomonIslands	Melanesia
Vanuatu	Melanesia
Guam	Micronesia
Kiribati	Micronesia
MarshallIslands	Micronesia
Micronesia(FederatedStatesof)	Micronesia
Micronesia	Micronesia
Nauru	Micronesia
NorthernMarianaIslands	Micronesia
Palau	Micronesia
UnitedStatesMinorOutlyingIslands	Micronesia
AmericanSamoa	Polynesia
CookIslands	Polynesia
FrenchPolynesia	Polynesia
Niue	Polynesia
Pitcairn[PitcairnIslands]	Polynesia
Samoa	Polynesia
Tokelau	Polynesia
Tonga	Polynesia
Tuvalu	Polynesia
WallisandFutunaIslands	Polynesia
CanaryIslands	SouthernEurope
Kosovo	SouthernEurope
